Sha,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Message,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines
53914f0a9cba77256188630e6870f98494a94e85,,,False,1,04/19/2024 02:07:44,1,04/19/2024 02:07:44,Added project,0,18,0,18,0,659,659,659,0
a7918ed4426845719f580c4a0c222efa898e69a7,53914f0a9cba77256188630e6870f98494a94e85,,False,1,04/19/2024 02:12:08,1,04/19/2024 02:12:08,Fixed path to Wherewolf,0,5,4,1,0,78,6,6,0
b6c5e208d066d227269c70517b096b99ce9634c3,a7918ed4426845719f580c4a0c222efa898e69a7,,False,1,04/19/2024 02:25:47,1,04/19/2024 02:25:47,Structuring early application.,0,8,3,5,0,196,113,119,6
ba4f3acb4bc1111109f5f8cd1a0813c794a22fd7,b6c5e208d066d227269c70517b096b99ce9634c3,,False,1,04/19/2024 03:24:09,1,04/19/2024 03:24:09,Early game creation and summarization,0,12,6,6,0,560,472,474,2
b5cdfe154be7342f2785d0450efd047e2c1b6295,ba4f3acb4bc1111109f5f8cd1a0813c794a22fd7,,False,1,04/19/2024 03:29:43,1,04/19/2024 03:29:43,Good early game display,0,1,1,0,0,132,-26,6,32
3ea7f19a21b935b69c2a1d15500c0e3984872a0e,b5cdfe154be7342f2785d0450efd047e2c1b6295,,False,1,04/20/2024 04:10:55,1,04/20/2024 04:10:55,Beginnings of knowledge representation and events,0,13,5,8,0,695,334,363,29
1cad1831c63e76c297000e4c872455228394b928,3ea7f19a21b935b69c2a1d15500c0e3984872a0e,,False,1,04/20/2024 21:26:58,1,04/20/2024 21:26:58,Beginnings of night phase,0,19,12,7,0,852,181,218,37
61e2be08cec6161ea91f5f2dbce6b2df77fb1087,1cad1831c63e76c297000e4c872455228394b928,,False,1,04/20/2024 21:40:55,1,04/20/2024 21:40:55,Saw other wolves event,0,9,8,1,0,351,60,66,6
0eabd3328f252d888da0fd5ce7d37cf2d8b8b3e7,61e2be08cec6161ea91f5f2dbce6b2df77fb1087,,False,1,04/21/2024 01:59:12,1,04/21/2024 01:59:12,Reorganizing for game setup and early probability,0,16,14,2,0,866,49,183,134
599ad20362a79706f59ea4e094a4ea0d22ac3d37,0eabd3328f252d888da0fd5ce7d37cf2d8b8b3e7,,False,1,04/21/2024 02:35:55,1,04/21/2024 02:35:55,Early permutation work,0,6,4,2,0,320,71,75,4
0ed9aae56436a3cacd445638602e2f02f01d8384,599ad20362a79706f59ea4e094a4ea0d22ac3d37,,False,1,04/21/2024 02:58:22,1,04/21/2024 02:58:22,Working probability engine,0,7,7,0,0,338,61,69,8
764d688785b7da5cfdc8c49bf2fe43307a6d5279,0ed9aae56436a3cacd445638602e2f02f01d8384,,False,1,04/21/2024 03:07:55,1,04/21/2024 03:07:55,Support-based calculation of start cards,0,3,2,0,1,88,14,32,18
767f10472cb3776b6e09aefd24b991dfc69fcc3e,764d688785b7da5cfdc8c49bf2fe43307a6d5279,,False,1,04/21/2024 03:30:27,1,04/21/2024 03:30:27,Brute force probability seems to be working,0,2,2,0,0,202,77,77,0
2e35f8f54b32473685168be1aa72408507d598e1,767f10472cb3776b6e09aefd24b991dfc69fcc3e,,False,1,04/21/2024 18:19:26,1,04/21/2024 18:19:26,Added a mechanism to get all possible worlds,0,9,6,3,0,573,124,163,39
2cd5f4952df7a5214d3014bce34210e50909730a,2e35f8f54b32473685168be1aa72408507d598e1,,False,1,04/21/2024 18:42:01,1,04/21/2024 18:42:01,Lone wolf peek is now fully implemented,0,10,7,2,1,387,91,104,13
c55fe3c28cf5a12f5b45f26bba499bfdc1df460f,2cd5f4952df7a5214d3014bce34210e50909730a,,False,1,04/21/2024 19:09:14,1,04/21/2024 19:09:14,Added knowledge test for lone wolf,0,2,1,1,0,131,47,47,0
ee8e28e440594e62cb61509b3ca5400411db02e4,c55fe3c28cf5a12f5b45f26bba499bfdc1df460f,,False,1,04/21/2024 22:20:24,1,04/21/2024 22:20:24,Early implementation of Robber,0,14,10,4,0,614,161,190,29
fca7fd622d2aa683839b79f298bcfc41e01b5223,ee8e28e440594e62cb61509b3ca5400411db02e4,,False,1,04/21/2024 22:23:46,1,04/21/2024 22:23:46,Probability refinements for robbing event,0,1,1,0,0,37,9,11,2
f857690c2e933ce13741721c763a491dada0055f,fca7fd622d2aa683839b79f298bcfc41e01b5223,68002d4248a2b7b0dd29048fc2b85fb072eff98d,True,1,04/26/2024 04:20:14,1,04/26/2024 04:20:14,Merge branch 'InsomniacAndCurrentProbability',0,33,25,6,2,1961,529,837,308
4101c815b35483ddc5065c04f648809e3f62b202,f857690c2e933ce13741721c763a491dada0055f,,False,1,04/28/2024 00:30:37,1,04/28/2024 00:30:37,Rendering final probabilities as well as start probabilities,0,1,1,0,0,123,13,38,25
58e6442b8009bdfe88ed997282e7bf3e43c1b6ea,4101c815b35483ddc5065c04f648809e3f62b202,,False,1,04/28/2024 19:42:58,1,04/28/2024 19:42:58,"Mostly refactored, but robber permutations are broken",0,34,29,1,4,2020,-56,213,269
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,58e6442b8009bdfe88ed997282e7bf3e43c1b6ea,,False,1,04/29/2024 00:16:58,1,04/29/2024 00:16:58,Replicated bug with a test,0,3,2,1,0,474,86,97,11
